Åìî‘çÜ,ÅFéÊìæì˙ïtÅiêÌó™ï™êÕópÅj,ÅñéÊìæì˙ïtÅiÉOÉâÉtópÅj,Åìè§ïiñº,ÅñAmazonéÊÇËàµÇ¢äJénì˙,Åìèoïié“,Åìè§ïiè⁄ç◊URL,Åìèdï°,ÅìçÄî‘,ÅìêØ,É^ÉCÉgÉã,Åììäçeé“,ÅñÉåÉrÉÖÅ[ì˙ït,ÉåÉrÉÖÅ[ì‡óe
18,2017/04/05 21:39:04,2017/4/5,"Testors Promotional Enamel Paint Set",,"Testors",https://www.amazon.com/Testors-Promotional-Enamel-Paint-Set/dp/B00005C2KF/ref=sr_1_4?s=toys-and-games&ie=UTF8&qid=1491395898&sr=1-4&keywords=model,0,12,5,"Worked great for the model Corvette I did with my son.","John B.",2017/03/25,"Worked great for the model Corvette I did with my son."
19,2017/04/05 21:39:04,2017/4/5,"Testors Promotional Enamel Paint Set",,"Testors",https://www.amazon.com/Testors-Promotional-Enamel-Paint-Set/dp/B00005C2KF/ref=sr_1_4?s=toys-and-games&ie=UTF8&qid=1491395898&sr=1-4&keywords=model,0,13,5,"Great paint for model cars","Amy G.",2016/02/10,"This paint goes a long way. It's nice because it comes with paint thinner and its own brush."
20,2017/04/05 21:39:04,2017/4/5,"Testors Promotional Enamel Paint Set",,"Testors",https://www.amazon.com/Testors-Promotional-Enamel-Paint-Set/dp/B00005C2KF/ref=sr_1_4?s=toys-and-games&ie=UTF8&qid=1491395898&sr=1-4&keywords=model,0,14,5,"Five Stars","mendyonline",2017/03/23,"Perfect for the model I am building."
21,2017/04/05 21:39:04,2017/4/5,"Testors Promotional Enamel Paint Set",,"Testors",https://www.amazon.com/Testors-Promotional-Enamel-Paint-Set/dp/B00005C2KF/ref=sr_1_4?s=toys-and-games&ie=UTF8&qid=1491395898&sr=1-4&keywords=model,0,15,5,"Still love them.","E S Richter",2017/03/27,"Have used these paints for over 60 years. Still love them."
22,2017/04/05 21:39:05,2017/4/5,"Testors Promotional Enamel Paint Set",,"Testors",https://www.amazon.com/Testors-Promotional-Enamel-Paint-Set/dp/B00005C2KF/ref=sr_1_4?s=toys-and-games&ie=UTF8&qid=1491395898&sr=1-4&keywords=model,0,16,5,"paint","Allen C Jackson",2017/03/14,"bright colors drys quick"
23,2017/04/05 21:39:05,2017/4/5,"Testors Promotional Enamel Paint Set",,"Testors",https://www.amazon.com/Testors-Promotional-Enamel-Paint-Set/dp/B00005C2KF/ref=sr_1_4?s=toys-and-games&ie=UTF8&qid=1491395898&sr=1-4&keywords=model,0,17,5,"Excellent Product!","Amazon Customer",2017/03/15,"Excellent Product!"
24,2017/04/05 21:39:05,2017/4/5,"Testors Promotional Enamel Paint Set",,"Testors",https://www.amazon.com/Testors-Promotional-Enamel-Paint-Set/dp/B00005C2KF/ref=sr_1_4?s=toys-and-games&ie=UTF8&qid=1491395898&sr=1-4&keywords=model,0,18,5,"Good color choices","D. Wilder",2017/03/18,"Great paint kit."
25,2017/04/05 21:39:05,2017/4/5,"Testors Promotional Enamel Paint Set",,"Testors",https://www.amazon.com/Testors-Promotional-Enamel-Paint-Set/dp/B00005C2KF/ref=sr_1_4?s=toys-and-games&ie=UTF8&qid=1491395898&sr=1-4&keywords=model,0,19,5,"Five Stars","paul f grygorcewicz",2017/03/13,"great colors"
26,2017/04/05 21:39:05,2017/4/5,"Testors Promotional Enamel Paint Set",,"Testors",https://www.amazon.com/Testors-Promotional-Enamel-Paint-Set/dp/B00005C2KF/ref=sr_1_4?s=toys-and-games&ie=UTF8&qid=1491395898&sr=1-4&keywords=model,0,20,5,"Five Stars","Renee",2017/03/12,"works great"
27,2017/04/05 21:39:19,2017/4/5,"Desktop Wooden Model Kit Modern House",,"Young Modeler",https://www.amazon.com/Desktop-Wooden-Model-Modern-House/dp/B00I7N947W/ref=sr_1_6?s=toys-and-games&ie=UTF8&qid=1491395898&sr=1-6&keywords=model,0,1,5,"Garden House A - A-OK!","Devin Watson",2016/08/26,"After purchasing the trebuchet kit for my wife, I felt compelled to get the Garden House A kit. While it may be for ages 12+, it was still something of a challenge for me as an adult. But not in a bad way.

First, the construction. I never once felt frustrated with the parts. There are some parts in this kit, such as the window frames and deck rails, which are very delicate and should be removed carefully. Fortunately they are laser cut so fine that there's only a few small points where they're joined to their sprue boards.

Some parts had extremely tight tolerances with their slotting (such as the chimney), but a couple of light passes with an emery board solved that problem. In fact, the tolerances were so good that for the majority of this model you don't need any of the supplied glue. The only places I would recommend glue would be the windows, stairs, deck supports (on the front under the deck), and the back door steps just to be sure. Everything else goes together tight enough that tension is all you need.

There were moments during the build that I thought it would come right apart in my hands, but it never did. Once you have the walls and floor together, it stands up nicely and you can immediately see the strength.

The instructions, while in both Korean and English, use written language sparingly. In fact, the majority of the instructions are all visual, using a pretty standard series that repeats: Find parts to use, assemble the first half, assemble the second half. When recommended, gluing is labeled on that step.

The only tools I recommend you have on hand for this are some fine-point tweezers (some parts are very small), an emery board, and possibly an Xacto knife. The knife is optional but may come in handy for some pieces that are stubborn to get off the board.

And if you're feeling adventurous, there is a hole in the bottom of the model for you to wire up LEDs. The one problem I ran into with this is that the plastic for the windows is tinted orange and is dark enough to knock down a 2x2 array of off-the-shelf LEDs to near nothing. So you might want to consider putting something with a little more punch inside if you're going to light it.

If you're looking for a nice challenge that will keep you busy for a couple of hours, then you could worse than try this model."
28,2017/04/05 21:39:19,2017/4/5,"Desktop Wooden Model Kit Modern House",,"Young Modeler",https://www.amazon.com/Desktop-Wooden-Model-Modern-House/dp/B00I7N947W/ref=sr_1_6?s=toys-and-games&ie=UTF8&qid=1491395898&sr=1-6&keywords=model,0,2,5,"Garden House A","Morgan",2017/03/09,"This model is the first kit I've ever assembled, and it's a lot of fun to build. Complicated enough to keep things interesting without major frustration. When I saw how many pieces the house came with, I was immediately nervous...but the instructions were great! There aren't many worded steps, but the pictures were clear and detailed enough that I had no deciphering issues. Plenty of adhesive included; I had about 1/3 of a tube left. I worked on it for about 4 days--a few hours each day, including time for the adhesive to dry. The model is beautiful when finished and definitely worth displaying. Right after completing this project, I bought two more house model kits from this company. I highly recommend this kit!"
29,2017/04/05 21:39:19,2017/4/5,"Desktop Wooden Model Kit Modern House",,"Young Modeler",https://www.amazon.com/Desktop-Wooden-Model-Modern-House/dp/B00I7N947W/ref=sr_1_6?s=toys-and-games&ie=UTF8&qid=1491395898&sr=1-6&keywords=model,0,3,5,"Lots of fun!","ebsnva",2016/02/21,"What fun this was to build! Comes with lots of pictures in the instructions, but very little English text. Pay attention and look a few steps ahead and you'll have a good time with it. Also, get some glue on the side. The glue that comes with is it is not great. Some regular school glue works fine. It functions too!"
30,2017/04/05 21:39:19,2017/4/5,"Desktop Wooden Model Kit Modern House",,"Young Modeler",https://www.amazon.com/Desktop-Wooden-Model-Modern-House/dp/B00I7N947W/ref=sr_1_6?s=toys-and-games&ie=UTF8&qid=1491395898&sr=1-6&keywords=model,0,4,5,"Five Stars","R. Howell",2017/03/04,"Great father and son bonding time. I highly recommend this."
31,2017/04/05 21:39:20,2017/4/5,"Desktop Wooden Model Kit Modern House",,"Young Modeler",https://www.amazon.com/Desktop-Wooden-Model-Modern-House/dp/B00I7N947W/ref=sr_1_6?s=toys-and-games&ie=UTF8&qid=1491395898&sr=1-6&keywords=model,0,5,5,"Excellent Kit!!","Northern Maine GPS",2014/07/03,"Excellent kit, very fine cutting lines and almost no sanding required. Component pieces fit very well. First ""throw"" test was 13 ft using the included ""weight"" and 75 grams of BBs. ~2 week delivery time --- not bad considering USPS Registered Mail and Overseas origin."
32,2017/04/05 21:39:20,2017/4/5,"Desktop Wooden Model Kit Modern House",,"Young Modeler",https://www.amazon.com/Desktop-Wooden-Model-Modern-House/dp/B00I7N947W/ref=sr_1_6?s=toys-and-games&ie=UTF8&qid=1491395898&sr=1-6&keywords=model,0,6,5,"Easy and fun","packerman",2016/07/01,"Fun project"
33,2017/04/05 21:39:20,2017/4/5,"Desktop Wooden Model Kit Modern House",,"Young Modeler",https://www.amazon.com/Desktop-Wooden-Model-Modern-House/dp/B00I7N947W/ref=sr_1_6?s=toys-and-games&ie=UTF8&qid=1491395898&sr=1-6&keywords=model,0,7,5,"What a nice kit, You need a gluing jig","stephen briggs",2015/03/16,"What a nice kit,You need a gluing jig, (a flat piece of sheet metal and magnets for gluing positions)But it's a nice kit once it's square in the beginning struts (patience is needed here), it pretty much goes together soundly after that,It was a bit disappointing with the projectile included but i found a big fishing sinker to do just fine,it certainly does show the power of the trebuchet though,Yes It Works .........just fine........you may want to stain it or get another kind of string ,i did like the fact there was not enough string for both the projectile and the winding mechanism,,,,,,,,but all in all it's worth the money asked,the parts are nicely cut even the gear for the ratcheting motion was precise,you just need to be careful removing the parts,i had a few pieces...the veneer chipped a bit upon attempted removal of a few parts but glue fixed it just fine. take your time and enjoy it .it is a nice kit"
34,2017/04/05 21:39:20,2017/4/5,"Desktop Wooden Model Kit Modern House",,"Young Modeler",https://www.amazon.com/Desktop-Wooden-Model-Modern-House/dp/B00I7N947W/ref=sr_1_6?s=toys-and-games&ie=UTF8&qid=1491395898&sr=1-6&keywords=model,0,8,1,"One Star","Barry Morris",2017/03/16,"Impossible"
35,2017/04/05 21:39:20,2017/4/5,"Desktop Wooden Model Kit Modern House",,"Young Modeler",https://www.amazon.com/Desktop-Wooden-Model-Modern-House/dp/B00I7N947W/ref=sr_1_6?s=toys-and-games&ie=UTF8&qid=1491395898&sr=1-6&keywords=model,0,9,1,"DO NOT WASTE YOUR MONEY","ElizabethP",2017/03/07,"This item is the worst! My daughter needed it for a school project. It's pathetic; not at all the quality suggested by the photos. The wood is literally 1/8 inch thick making it incredibly flimsy. To make things worse, when I tried to return it before we even took it out of the packaging I got a notice saying it's non returnable. Shame on me -- I should have looked at that before. My mistake. But shame on anyone else for buying this item after reading this!"
36,2017/04/05 21:39:20,2017/4/5,"Desktop Wooden Model Kit Modern House",,"Young Modeler",https://www.amazon.com/Desktop-Wooden-Model-Modern-House/dp/B00I7N947W/ref=sr_1_6?s=toys-and-games&ie=UTF8&qid=1491395898&sr=1-6&keywords=model,0,10,3,"the layers of wood can separate very easily especially on the smaller pieces","Shady",2015/03/04,"Quality design, instructions are ok, only flaw is the balsa wood. Be very careful when popping out the pieces, the layers of wood can separate very easily especially on the smaller pieces."
37,2017/04/05 21:39:24,2017/4/5,"Desktop Wooden Model Kit Modern House",,"Young Modeler",https://www.amazon.com/Desktop-Wooden-Model-Modern-House/dp/B00I7N947W/ref=sr_1_6?s=toys-and-games&ie=UTF8&qid=1491395898&sr=1-6&keywords=model,0,11,4,"Great model, but...","JoAnne Beall",2017/02/15,"This was a good, working model of a trebuchet. It does work easily. However, the instructions are in Korean. The pictures are clear enough to follow easily but if u need words make sure you speak Hangul. This is why I only gave it four stars."
38,2017/04/05 21:39:24,2017/4/5,"Desktop Wooden Model Kit Modern House",,"Young Modeler",https://www.amazon.com/Desktop-Wooden-Model-Modern-House/dp/B00I7N947W/ref=sr_1_6?s=toys-and-games&ie=UTF8&qid=1491395898&sr=1-6&keywords=model,0,12,5,"great trebuchet","Architect.MT",2015/03/28,"This is a great buy. This one one of the first model kits I have ever bought. For a novice like me it was easy to understand how to put it all together. It snaps together easy and with a bit of glue it was together in no time. It was shipped on time and came undamaged. I liked that it wasn't just your standard looking basic design. It's kinda of art work. We display it on the coffee table and it definitely catches people's eyes. Would recommend 100%"
39,2017/04/05 21:39:25,2017/4/5,"Desktop Wooden Model Kit Modern House",,"Young Modeler",https://www.amazon.com/Desktop-Wooden-Model-Modern-House/dp/B00I7N947W/ref=sr_1_6?s=toys-and-games&ie=UTF8&qid=1491395898&sr=1-6&keywords=model,0,13,5,"Very high quality.","jacob pfeffer",2015/09/26,"This kit was amazing and super detailed, had a blast putting it together. An an xacto knife, glue and a pair of pliers (for securing the metal rings) is all that was needed. I used the knife to pop out the pieces (they aren't meant to be popped out with fingers, I noticed one reviewer did that and gave this kit an unfair review.). The pieces were cut by laser and fit together very well, almost snapping into place (glue still needed). The instructions are easy to follow even if they only consist of pictures. As will all models, look through the instructions first and fit the pieces before you glue them so you don't end up in a panic mode. Very sturdy and detailed kit."
40,2017/04/05 21:39:25,2017/4/5,"Desktop Wooden Model Kit Modern House",,"Young Modeler",https://www.amazon.com/Desktop-Wooden-Model-Modern-House/dp/B00I7N947W/ref=sr_1_6?s=toys-and-games&ie=UTF8&qid=1491395898&sr=1-6&keywords=model,0,14,1,"????? WHY - Foreign language instructions?????","Amazon customer",2016/05/12,"Very disappointed - this was what my 7 year old grandson wanted to spend his birthday money on. When we got the kit - it was in a foreign language. That is not pictured in the description nor is it stated any where. The first thing he said was, I can't read that. If it has a foreign language on the box or instructions - it needs to be stated."
41,2017/04/05 21:39:25,2017/4/5,"Desktop Wooden Model Kit Modern House",,"Young Modeler",https://www.amazon.com/Desktop-Wooden-Model-Modern-House/dp/B00I7N947W/ref=sr_1_6?s=toys-and-games&ie=UTF8&qid=1491395898&sr=1-6&keywords=model,0,15,5,"Great Gift!","Lady Amazonian",2016/08/06,"This was a gift for my puzzle addicted friend. Like the kind of person who completes 1000 piece puzzles of solid colors.

That being said, this was no where near as difficult, though she still really, really enjoyed assembling it. One thing she wanted me to mention, use extra cacution when popping the pieces out of the little frame. Its almost impossible to get correctly with your fingers, so using a knife would or something similar would be much better.

I plan to buy other models and assemble them myself."
42,2017/04/05 21:39:25,2017/4/5,"Desktop Wooden Model Kit Modern House",,"Young Modeler",https://www.amazon.com/Desktop-Wooden-Model-Modern-House/dp/B00I7N947W/ref=sr_1_6?s=toys-and-games&ie=UTF8&qid=1491395898&sr=1-6&keywords=model,0,16,4,"Interesting project, but expensive.","Katie",2017/01/27,"This was a fun Sunday afternoon project. I did paint it using standard acrylic paints from the craft store, and they worked just fine. Assembly was easy enough. The photo instructions were more than enough to guide me through step by step.

My only complaint is the price. I'd love to do more of these, but they are expensive for an activity that can be completed in just a few short hours.

It is small once assembled, which I knew before I purchased. Working on something this size actually made it more of a fun challenge. It's approx the size of a small tissue box, maybe a bit smaller."
43,2017/04/05 21:39:25,2017/4/5,"Desktop Wooden Model Kit Modern House",,"Young Modeler",https://www.amazon.com/Desktop-Wooden-Model-Modern-House/dp/B00I7N947W/ref=sr_1_6?s=toys-and-games&ie=UTF8&qid=1491395898&sr=1-6&keywords=model,0,17,1,"Deceiving looks, cheap, way overpriced","amber davis",2015/12/16,"Way cheaper looking than the picture online. Very deceiving.its not really wood but thin cardboard,? Even the picture on the box doesn't look like the picture online.,very unhappy for this price. Way overpriced. Maby if the price was cut at least in half it would be worth the craft"
44,2017/04/05 21:39:25,2017/4/5,"Desktop Wooden Model Kit Modern House",,"Young Modeler",https://www.amazon.com/Desktop-Wooden-Model-Modern-House/dp/B00I7N947W/ref=sr_1_6?s=toys-and-games&ie=UTF8&qid=1491395898&sr=1-6&keywords=model,0,18,5,"Great for the holidays!","Leo Ashner",2016/12/07,"These kits are really great. They feel really high quality. All the laser cuts are on point. It arrives in a plastic box making this seem like a really quality kit. And to top it off, it comes with a tube of glue. Be warned, these kits are addicting!"
45,2017/04/05 21:39:25,2017/4/5,"Desktop Wooden Model Kit Modern House",,"Young Modeler",https://www.amazon.com/Desktop-Wooden-Model-Modern-House/dp/B00I7N947W/ref=sr_1_6?s=toys-and-games&ie=UTF8&qid=1491395898&sr=1-6&keywords=model,0,19,1,"was what my husband needed, but took wayyyyy too ...","Coop",2016/12/31,"was what my husband needed, but took wayyyyy too long to arrive. approx 6 weeks. he needed it for an engineering class, and by the time it arrived, they no longer needed it. guess he can keep for next year :)"
